cve,links,cwe,cne,cvss2score
CVE-2019-12817,['https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=ca72d88378b2f2444d3ec145dd442d449d3fefbc'],"('CWE-787', 'Out-of-bounds Write')",MITRE,NVD-CVSS2-Other
CVE-2019-19058,['https://github.com/torvalds/linux/commit/b4b814fec1a5a849383f7b3886b654a13abbda7d'],"('CWE-401', 'Missing Release of Memory after Effective Lifetime')",MITRE,NVD-CVSS2-Other
CVE-2021-25940,['https://github.com/arangodb/arangodb/commit/e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3'],"('CWE-613', 'Insufficient Session Expiration')",Mend,NVD-CVSS2-Other
CVE-2015-5070,"['http://www.openwall.com/lists/oss-security/2015/06/25/12', 'https://bugzilla.redhat.com/show_bug.cgi?id=1236010', 'https://github.com/wesnoth/wesnoth/commit/b2738ffb2fdd2550ececb74f76f75583c43c8b59']","('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')",MITRE,NVD-CVSS2-Other
CVE-2020-14385,['https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=f4020438fab05364018c91f7e02ebdd192085933'],"('CWE-131', 'Incorrect Calculation of Buffer Size')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2017-13715,"['http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=a6e544b0a88b53114bfa5a57e21b7be7a8dfc9d0', 'https://github.com/torvalds/linux/commit/a6e544b0a88b53114bfa5a57e21b7be7a8dfc9d0']","('CWE-665', 'Improper Initialization')",MITRE,NVD-CVSS2-Other
CVE-2014-8275,[],"('CWE-310', 'Cryptographic Issues')",CERT/CC,NVD-CVSS2-Other
CVE-2017-11664,['https://github.com/Mindwerks/wildmidi/commit/ad6d7cf88d6673167ca1f517248af9409a9f1be1'],"('CWE-125', 'Out-of-bounds Read')",MITRE,NVD-CVSS2-Other
CVE-2020-35965,"['https://github.com/FFmpeg/FFmpeg/commit/3e5959b3457f7f1856d997261e6ac672bba49e8b', 'https://github.com/FFmpeg/FFmpeg/commit/b0a8b40294ea212c1938348ff112ef1b9bf16bb3']","('CWE-787', 'Out-of-bounds Write')",MITRE,NVD-CVSS2-Other
CVE-2022-36042,['https://github.com/rizinorg/rizin/commit/556ca2f9eef01ec0f4a76d1fbacfcf3a87a44810'],"('CWE-787', 'Out-of-bounds Write')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2014-0129,[],"('CWE-264', 'Permissions, Privileges, and Access Controls')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2013-1415,['https://github.com/krb5/krb5/commit/f249555301940c6df3a2cdda13b56b5674eebc2e'],"('CWE-476', 'NULL Pointer Dereference')",MITRE,NVD-CVSS2-Other
CVE-2016-7151,['https://github.com/aquynh/capstone/commit/87a25bb543c8e4c09b48d4b4a6c7db31ce58df06'],"('CWE-125', 'Out-of-bounds Read')",MITRE,NVD-CVSS2-Other
CVE-2017-12982,"['https://blogs.gentoo.org/ago/2017/08/14/openjpeg-memory-allocation-failure-in-opj_aligned_alloc_n-opj_malloc-c/', 'https://github.com/uclouvain/openjpeg/commit/baf0c1ad4572daa89caa3b12985bdd93530f0dd7', 'https://github.com/uclouvain/openjpeg/issues/983']","('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2017-1000016,[],"('CWE-20', 'Improper Input Validation')",MITRE,NVD-CVSS2-Other
CVE-2016-5350,['https://github.com/wireshark/wireshark/commit/b4d16b4495b732888e12baf5b8a7e9bf2665e22b'],"('CWE-399', 'Resource Management Errors')",MITRE,NVD-CVSS2-Other
CVE-2021-37683,['https://github.com/tensorflow/tensorflow/commit/1e206baedf8bef0334cca3eb92bab134ef525a28'],"('CWE-369', 'Divide By Zero')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2022-0419,"['https://github.com/radareorg/radare2/commit/feaa4e7f7399c51ee6f52deb84dc3f795b4035d6', 'https://huntr.dev/bounties/1f84e79d-70e7-4b29-8b48-a108f81c89aa']","('CWE-476', 'NULL Pointer Dereference')",huntr.dev,NVD-CVSS2-Other
CVE-2022-0367,"['https://github.com/stephane/libmodbus/commit/b4ef4c17d618eba0adccc4c7d9e9a1ef809fc9b6', 'https://github.com/stephane/libmodbus/issues/614']","('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2015-8215,[],"('CWE-20', 'Improper Input Validation')",Canonical Ltd.,NVD-CVSS2-Other
CVE-2017-11719,['https://github.com/FFmpeg/FFmpeg/commit/296debd213bd6dce7647cedd34eb64e5b94cdc92'],"('CWE-125', 'Out-of-bounds Read')",MITRE,NVD-CVSS2-Other
CVE-2020-22875,['https://github.com/pcmacdon/jsish/commit/5408a6d93f45bf1f7acd9ae5d44e0ebd77379e98'],"('CWE-190', 'Integer Overflow or Wraparound')",MITRE,NVD-CVSS2-Other
CVE-2013-4470,"['http://www.openwall.com/lists/oss-security/2013/10/25/5', 'https://bugzilla.redhat.com/show_bug.cgi?id=1023477', 'https://github.com/torvalds/linux/commit/c547dbf55d5f8cf615ccc0e7265e98db27d3fb8b', 'https://github.com/torvalds/linux/commit/e93b7d748be887cd7639b113ba7d7ef792a7efb9', 'https://www.kernel.org/pub/linux/kernel/v3.x/patch-3.12.bz2']","('CWE-264', 'Permissions, Privileges, and Access Controls')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2017-11399,['https://github.com/FFmpeg/FFmpeg/commit/ba4beaf6149f7241c8bd85fe853318c2f6837ad0'],"('CWE-125', 'Out-of-bounds Read')",MITRE,NVD-CVSS2-Other
CVE-2017-12427,"['https://github.com/ImageMagick/ImageMagick/commit/e793eb203e5e0f91f5037aed6585e81b1e27395b', 'https://github.com/ImageMagick/ImageMagick/issues/636']","('CWE-772', 'Missing Release of Resource after Effective Lifetime')",MITRE,NVD-CVSS2-Other
CVE-2021-29531,"['https://github.com/tensorflow/tensorflow/commit/26eb323554ffccd173e8a79a8c05c15b685ae4d1', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-3qxp-qjq7-w4hf']","('CWE-754', 'Improper Check for Unusual or Exceptional Conditions')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2016-5418,"['https://github.com/libarchive/libarchive/commit/dfd6b54ce33960e420fb206d8872fb759b577ad9', 'https://github.com/libarchive/libarchive/issues/746']","('CWE-19', 'Data Processing Errors')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2015-6830,['https://www.phpmyadmin.net/security/PMASA-2015-4/'],"('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')",MITRE,NVD-CVSS2-Other
CVE-2016-3140,[],"('NVD-CWE-Other', 'Other')",SUSE,NVD-CVSS2-Other
CVE-2021-4043,"['https://github.com/gpac/gpac/commit/64a2e1b799352ac7d7aad1989bc06e7b0f2b01db', 'https://huntr.dev/bounties/d7a534cb-df7a-48ba-8ce3-46b1551a9c47']","('CWE-476', 'NULL Pointer Dereference')",huntr.dev,NVD-CVSS2-Other
CVE-2013-7459,"['https://github.com/dlitz/pycrypto/commit/8dbe0dc3eea5c689d4f76b37b93fe216cf1f00d4', 'https://github.com/dlitz/pycrypto/issues/176']","('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2021-37686,['https://github.com/tensorflow/tensorflow/commit/dfa22b348b70bb89d6d6ec0ff53973bacb4f4695'],"('CWE-835', ""Loop with Unreachable Exit Condition ('Infinite Loop')"")","GitHub, Inc.",NVD-CVSS2-Other
CVE-2016-9581,"['https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-9581', 'https://github.com/szukw000/openjpeg/commit/cadff5fb6e73398de26a92e96d3d7cac893af255']","('CWE-835', ""Loop with Unreachable Exit Condition ('Infinite Loop')"")","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2021-29601,"['https://github.com/tensorflow/tensorflow/commit/4253f96a58486ffe84b61c0415bb234a4632ee73', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9c84-4hx6-xmm4']","('CWE-190', 'Integer Overflow or Wraparound')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2014-2907,['https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=30ba425e7e95f7b61b3a3e5ff0c46e4be9d3d8d7'],"('NVD-CWE-Other', 'Insufficient Information')",MITRE,NVD-CVSS2-Other
CVE-2022-35979,['https://github.com/tensorflow/tensorflow/commit/49b3824d83af706df0ad07e4e677d88659756d89'],"('CWE-20', 'Improper Input Validation')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2015-6822,[],"('CWE-17', 'DEPRECATED: Code')",MITRE,NVD-CVSS2-Other
CVE-2019-15221,['https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=3450121997ce872eb7f1248417225827ea249710'],"('CWE-476', 'NULL Pointer Dereference')",MITRE,NVD-CVSS2-Other
CVE-2015-8217,[],"('CWE-20', 'Improper Input Validation')",MITRE,NVD-CVSS2-Other
CVE-2022-3170,"['https://github.com/torvalds/linux/commit/5934d9a0383619c14df91af8fd76261dc3de2f5f', 'https://github.com/torvalds/linux/commit/6ab55ec0a938c7f943a4edba3d6514f775983887']","('CWE-125', 'Out-of-bounds Read')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2022-2126,"['https://github.com/vim/vim/commit/156d3911952d73b03d7420dc3540215247db0fe8', 'https://huntr.dev/bounties/8d196d9b-3d10-41d2-9f70-8ef0d08c946e']","('CWE-125', 'Out-of-bounds Read')",huntr.dev,NVD-CVSS2-Other
CVE-2021-38201,"['https://cdn.kernel.org/pub/linux/kernel/v5.x/ChangeLog-5.13.4', 'https://github.com/torvalds/linux/commit/6d1c0f3d28f98ea2736128ed3e46821496dc3a8c']","('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2020-20276,['https://github.com/troglobit/uftpd/commit/0fb2c031ce0ace07cc19cd2cb2143c4b5a63c9dd'],"('CWE-787', 'Out-of-bounds Write')",MITRE,NVD-CVSS2-Other
CVE-2012-0028,['https://github.com/torvalds/linux/commit/8141c7f3e7aee618312fa1c15109e1219de784a7'],"('CWE-264', 'Permissions, Privileges, and Access Controls')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2015-3906,[],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2016-4564,['https://github.com/ImageMagick/ImageMagick/commit/726812fa2fa7ce16bcf58f6e115f65427a1c0950'],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2022-21711,"['https://github.com/liyansong2018/elfspirit/commit/c5b0f5a9a24f2451bbeda4751d67633bc375e608', 'https://github.com/liyansong2018/elfspirit/security/advisories/GHSA-jr8h-2657-m68r']","('CWE-125', 'Out-of-bounds Read')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2016-0792,['https://wiki.jenkins-ci.org/display/SECURITY/Jenkins+Security+Advisory+2016-02-24'],"('CWE-20', 'Improper Input Validation')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2017-12876,"['http://www.openwall.com/lists/oss-security/2017/08/16/3', 'https://blogs.gentoo.org/ago/2017/08/10/imagemagick-heap-based-buffer-overflow-in-omp_outlined-32-enhance-c/', 'https://github.com/ImageMagick/ImageMagick/commit/1cc6f0ccc92c20c7cab6c4a7335daf29c91f0d8e']","('CWE-787', 'Out-of-bounds Write')",MITRE,NVD-CVSS2-Other
CVE-2019-11815,"['https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=cb66ddd156203daefb8d71158036b27b0e2caf63', 'https://github.com/torvalds/linux/commit/cb66ddd156203daefb8d71158036b27b0e2caf63']","('CWE-416', 'Use After Free')",MITRE,NVD-CVSS2-Other
CVE-2018-1128,"['https://bugzilla.redhat.com/show_bug.cgi?id=1575866', 'https://github.com/ceph/ceph/commit/5ead97120e07054d80623dada90a5cc764c28468']","('CWE-294', 'Authentication Bypass by Capture-replay')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2018-15861,"['https://github.com/xkbcommon/libxkbcommon/commit/38e1766bc6e20108948aec8a0b222a4bad0254e9', 'https://lists.freedesktop.org/archives/wayland-devel/2018-August/039243.html']","('CWE-476', 'NULL Pointer Dereference')",MITRE,NVD-CVSS2-Other
CVE-2013-4244,"['http://bugzilla.maptools.org/show_bug.cgi?id=2452', 'https://bugzilla.redhat.com/show_bug.cgi?id=996468', 'https://github.com/vadz/libtiff/commit/ce6841d9e41d621ba23cf18b190ee6a23b2cc833']","('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2018-16057,['https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=bbf46eb46ae38392af8e6cd288795f0def50a621'],"('NVD-CWE-Other', 'Insufficient Information')",MITRE,NVD-CVSS2-Other
CVE-2021-38171,"['https://github.com/FFmpeg/FFmpeg/commit/9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6', 'https://patchwork.ffmpeg.org/project/ffmpeg/patch/AS8P193MB12542A86E22F8207EC971930B6F19@AS8P193MB1254.EURP193.PROD.OUTLOOK.COM/']","('CWE-252', 'Unchecked Return Value')",MITRE,NVD-CVSS2-Other
CVE-2020-10773,['https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=b8e51a6a9db94bc1fb18ae831b3dab106b5a4b5f'],"('CWE-626', 'Null Byte Interaction Error (Poison Null Byte)')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2020-15212,"['https://github.com/tensorflow/tensorflow/commit/204945b19e44b57906c9344c0d00120eeeae178a', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-hx2x-85gr-wrpq']","('CWE-787', 'Out-of-bounds Write')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2013-4205,['https://github.com/torvalds/linux/commit/6160968cee8b90a5dd95318d716e31d7775c4ef3'],"('CWE-399', 'Resource Management Errors')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2016-6291,['https://bugs.php.net/72603'],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2020-10767,['https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=21998a351512eba4ed5969006f0c55882d995ada'],"('CWE-440', 'Expected Behavior Violation')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2022-23585,"['https://github.com/tensorflow/tensorflow/commit/ab51e5b813573dc9f51efa335aebcf2994125ee9', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-fq6p-6334-8gr4']","('CWE-401', 'Missing Release of Memory after Effective Lifetime')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2019-16930,['https://github.com/zcash/zcash/commit/c1fbf8ab5d73cff5e1f45236995857c75ba4128d'],"('CWE-755', 'Improper Handling of Exceptional Conditions')",MITRE,NVD-CVSS2-Other
CVE-2016-10208,"['http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=3a4b77cd47bb837b8557595ec7425f281f2ca1fe', 'http://www.openwall.com/lists/oss-security/2017/02/05/3', 'https://bugzilla.redhat.com/show_bug.cgi?id=1395190', 'https://github.com/torvalds/linux/commit/3a4b77cd47bb837b8557595ec7425f281f2ca1fe']","('CWE-125', 'Out-of-bounds Read')",MITRE,NVD-CVSS2-Other
CVE-2021-3984,"['https://github.com/vim/vim/commit/2de9b7c7c8791da8853a9a7ca9c467867465b655', 'https://huntr.dev/bounties/b114b5a2-18e2-49f0-b350-15994d71426a']","('CWE-122', 'Heap-based Buffer Overflow')",huntr.dev,NVD-CVSS2-Other
CVE-2022-0849,"['https://github.com/radareorg/radare2/commit/10517e3ff0e609697eb8cde60ec8dc999ee5ea24', 'https://huntr.dev/bounties/29c5f76e-5f1f-43ab-a0c8-e31951e407b6']","('CWE-416', 'Use After Free')",huntr.dev,NVD-CVSS2-Other
CVE-2022-2816,"['https://github.com/vim/vim/commit/dbdd16b62560413abcc3c8e893cc3010ccf31666', 'https://huntr.dev/bounties/e2a83037-fcf9-4218-b2b9-b7507dacde58']","('CWE-125', 'Out-of-bounds Read')",huntr.dev,NVD-CVSS2-Other
CVE-2022-1714,"['https://github.com/radareorg/radare2/commit/3ecdbf8e21186a9c5a4d3cfa3b1e9fd27045340e', 'https://huntr.dev/bounties/1c22055b-b015-47a8-a57b-4982978751d0']","('CWE-125', 'Out-of-bounds Read')",huntr.dev,NVD-CVSS2-Other
CVE-2017-15365,['https://github.com/MariaDB/server/commit/0b5a5258abbeaf8a0c3a18c7e753699787fdf46e'],"('NVD-CWE-Other', 'Insufficient Information')",MITRE,NVD-CVSS2-Other
CVE-2022-24786,['https://github.com/pjsip/pjproject/commit/11559e49e65bdf00922ad5ae28913ec6a198d508'],"('CWE-125', 'Out-of-bounds Read')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2019-17539,['https://github.com/FFmpeg/FFmpeg/commit/8df6884832ec413cf032dfaa45c23b1c7876670c'],"('CWE-476', 'NULL Pointer Dereference')",MITRE,NVD-CVSS2-Other
CVE-2016-2176,[],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2019-19073,['https://github.com/torvalds/linux/commit/853acf7caf10b828102d92d05b5c101666a6142b'],"('CWE-401', 'Missing Release of Memory after Effective Lifetime')",MITRE,NVD-CVSS2-Other
CVE-2018-6412,"['http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=250c6c49e3b68756b14983c076183568636e2bde', 'https://github.com/torvalds/linux/commit/250c6c49e3b68756b14983c076183568636e2bde', 'https://marc.info/?l=linux-fbdev&m=151734425901499&w=2']","('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')",MITRE,NVD-CVSS2-Other
CVE-2020-27673,"['https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=e99502f76271d6bc4e374fe368c50c67a1fd3070', 'https://github.com/torvalds/linux/commit/e99502f76271d6bc4e374fe368c50c67a1fd3070', 'https://xenbits.xen.org/xsa/advisory-332.html']","('NVD-CWE-Other', 'Insufficient Information')",MITRE,NVD-CVSS2-Other
CVE-2012-2797,[],"('NVD-CWE-Other', 'Insufficient Information')",Google Inc.,NVD-CVSS2-Other
CVE-2019-20398,"['https://bugzilla.redhat.com/show_bug.cgi?id=1793935', 'https://github.com/CESNET/libyang/commit/7852b272ef77f8098c35deea6c6f09cb78176f08']","('CWE-476', 'NULL Pointer Dereference')",MITRE,NVD-CVSS2-Other
CVE-2015-4600,[],"('NVD-CWE-Other', 'Other')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2009-5147,"['http://seclists.org/oss-sec/2015/q3/222', 'https://bugzilla.redhat.com/show_bug.cgi?id=1248935', 'https://github.com/ruby/ruby/commit/4600cf725a86ce31266153647ae5aa1197b1215b']","('CWE-20', 'Improper Input Validation')",MITRE,NVD-CVSS2-Other
CVE-2012-2673,"['https://github.com/ivmai/bdwgc/commit/6a93f8e5bcad22137f41b6c60a1c7384baaec2b3', 'https://github.com/ivmai/bdwgc/commit/83231d0ab5ed60015797c3d1ad9056295ac3b2bb', 'https://github.com/ivmai/bdwgc/commit/be9df82919960214ee4b9d3313523bff44fd99e1', 'https://github.com/ivmai/bdwgc/commit/e10c1eb9908c2774c16b3148b30d2f3823d66a9a']","('CWE-189', 'Numeric Errors')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2016-6835,['https://lists.gnu.org/archive/html/qemu-stable/2016-08/msg00077.html'],"('NVD-CWE-Other', 'Other')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2022-3222,"['https://github.com/gpac/gpac/commit/4e7736d7ec7bf64026daa611da951993bb42fdaf', 'https://huntr.dev/bounties/b29c69fa-3eac-41e4-9d4f-d861aba18235']","('CWE-674', 'Uncontrolled Recursion')",huntr.dev,NVD-CVSS2-Other
CVE-2021-4192,['https://github.com/vim/vim/commit/4c13e5e6763c6eb36a343a2b8235ea227202e952'],"('CWE-416', 'Use After Free')",huntr.dev,NVD-CVSS2-Other
CVE-2021-36148,['https://github.com/projectacrn/acrn-hypervisor/commit/25c0e3817eb332660dd63d1d4522e63dcc94e79a'],"('CWE-120', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"")",MITRE,NVD-CVSS2-Other
CVE-2022-29204,"['https://github.com/tensorflow/tensorflow/blob/master/tensorflow/security/advisory/tfsa-2021-198.md', 'https://github.com/tensorflow/tensorflow/commit/20cb18724b0bf6c09071a3f53434c4eec53cc147', 'https://github.com/tensorflow/tensorflow/commit/84563f265f28b3c36a15335c8b005d405260e943', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-hx9q-2mx4-m4pg']","('CWE-191', 'Integer Underflow (Wrap or Wraparound)')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2021-28855,"['https://fatihhcelik.github.io/posts/NULL-Pointer-Dereference-Deark/', 'https://github.com/jsummers/deark/commit/287f5ac31dfdc074669182f51ece637706070eeb']","('CWE-476', 'NULL Pointer Dereference')",MITRE,NVD-CVSS2-Other
CVE-2014-8626,[],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2018-6196,"['https://github.com/tats/w3m/commit/8354763b90490d4105695df52674d0fcef823e92', 'https://github.com/tats/w3m/issues/88']","('CWE-835', ""Loop with Unreachable Exit Condition ('Infinite Loop')"")",MITRE,NVD-CVSS2-Other
CVE-2022-23560,"['https://github.com/tensorflow/tensorflow/commit/6364463d6f5b6254cac3d6aedf999b6a96225038', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-4hvf-hxvg-f67v']","('CWE-125', 'Out-of-bounds Read')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2016-9536,['https://github.com/vadz/libtiff/commit/83a4b92815ea04969d494416eaae3d4c6b338e4a#diff-5173a9b3b48146e4fd86d7b9b346115e'],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2014-5355,[],"('NVD-CWE-Other', 'Other')",MITRE,NVD-CVSS2-Other
CVE-2021-23177,"['https://bugzilla.redhat.com/show_bug.cgi?id=2024245', 'https://github.com/libarchive/libarchive/commit/fba4f123cc456d2b2538f811bb831483bf336bad', 'https://github.com/libarchive/libarchive/issues/1565']","('CWE-59', ""Improper Link Resolution Before File Access ('Link Following')"")","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2012-2800,[],"('NVD-CWE-Other', 'Insufficient Information')",Google Inc.,NVD-CVSS2-Other
CVE-2016-2532,[],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2017-10966,"['https://github.com/irssi/irssi/commit/5e26325317c72a04c1610ad952974e206384d291', 'https://irssi.org/security/irssi_sa_2017_07.txt']","('CWE-416', 'Use After Free')",MITRE,NVD-CVSS2-Other
CVE-2016-2527,[],"('CWE-20', 'Improper Input Validation')",MITRE,NVD-CVSS2-Other
CVE-2021-31262,['https://github.com/gpac/gpac/commit/b2eab95e07cb5819375a50358d4806a8813b6e50'],"('CWE-476', 'NULL Pointer Dereference')",MITRE,NVD-CVSS2-Other
CVE-2021-37672,['https://github.com/tensorflow/tensorflow/commit/a4e138660270e7599793fa438cd7b2fc2ce215a6'],"('CWE-125', 'Out-of-bounds Read')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2020-4032,['https://github.com/FreeRDP/FreeRDP/commit/e7bffa64ef5ed70bac94f823e2b95262642f5296'],"('CWE-681', 'Incorrect Conversion between Numeric Types')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2016-5688,"['https://github.com/ImageMagick/ImageMagick/commit/aecd0ada163a4d6c769cec178955d5f3e9316f2f', 'https://github.com/ImageMagick/ImageMagick/commit/fc43974d34318c834fbf78570ca1a3764ed8c7d7', 'https://github.com/ImageMagick/ImageMagick/commits/6.9.4-4', 'https://github.com/ImageMagick/ImageMagick/commits/7.0.1-5']","('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2014-0214,[],"('CWE-287', 'Improper Authentication')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2020-1896,['https://github.com/facebook/hermes/commit/86543ac47e59c522976b5632b8bf9a2a4583c7d2'],"('CWE-121', 'Stack-based Buffer Overflow')","Facebook, Inc.",NVD-CVSS2-Other
CVE-2010-0011,['http://github.com/Dieterbe/uzbl/downloads'],"('CWE-264', 'Permissions, Privileges, and Access Controls')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2012-6543,['https://www.kernel.org/pub/linux/kernel/v3.x/patch-3.6.bz2'],"('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')",MITRE,NVD-CVSS2-Other
CVE-2015-0232,"['https://bugs.php.net/bug.php?id=68799', 'https://bugzilla.redhat.com/show_bug.cgi?id=1185472']","('NVD-CWE-Other', 'Other')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2017-2608,['https://github.com/jenkinsci/jenkins/commit/a814154695e23dc37542af7d40cacc129cf70722'],"('CWE-502', 'Deserialization of Untrusted Data')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2016-6920,['http://git.videolan.org/gitweb.cgi/ffmpeg.git/?a=commit;h=79f52a0dbd484aad111e4bf4a4f7047c7ceb6137'],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2019-7175,"['https://github.com/ImageMagick/ImageMagick/commit/1e6a3ace073c9ec9c71e439c111d23c6e66cb6ae', 'https://github.com/ImageMagick/ImageMagick/issues/1450']","('CWE-401', 'Missing Release of Memory after Effective Lifetime')",MITRE,NVD-CVSS2-Other
CVE-2016-10270,"['https://blogs.gentoo.org/ago/2017/01/01/libtiff-multiple-heap-based-buffer-overflow/', 'https://github.com/vadz/libtiff/commit/9a72a69e035ee70ff5c41541c8c61cd97990d018']","('CWE-125', 'Out-of-bounds Read')",MITRE,NVD-CVSS2-Other
CVE-2014-0205,[],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2017-17855,['https://github.com/torvalds/linux/commit/179d1c5602997fef5a940c6ddcf31212cbfebd14'],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2022-2652,"['https://github.com/umlaeute/v4l2loopback/commit/e4cd225557486c420f6a34411f98c575effd43dd', 'https://huntr.dev/bounties/1b055da5-7a9e-4409-99d7-030280d242d5']","('CWE-134', 'Use of Externally-Controlled Format String')",huntr.dev,NVD-CVSS2-Other
CVE-2014-1690,"['http://www.kernel.org/pub/linux/kernel/v3.x/ChangeLog-3.12.8', 'http://www.openwall.com/lists/oss-security/2014/01/28/3', 'https://bugzilla.redhat.com/show_bug.cgi?id=1058748', 'https://github.com/torvalds/linux/commit/2690d97ade05c5325cbf7c72b94b90d265659886']","('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')","Red Hat, Inc.",NVD-CVSS2-Other
